first,second
"(""C6-removal_obligation"", ""Total_costs_per_abat"")","[21.020675343708156, 21.020675343708156, 25.76916770234407, 25.76916770234407, 34.411438280681324, 34.411438280681324, 20.974406377244783, 20.974406377244783, 25.721837736287384, 25.721837736287384, 34.41477856709318, 34.41477856709318, 20.930702070387433, 20.930702070387433, 25.683379430096746, 25.683379430096746, 34.42314810532457, 34.42314810532457, 21.307786103665073, 21.307786103665073, 26.213346666799268, 26.213346666799268, 34.766393597858126, 34.766393597858126, 21.255553969280243, 21.255553969280243, 26.123228120124125, 26.123228120124125, 34.69763781622354, 34.69763781622354, 21.211461880031198, 21.211461880031198, 26.051895913609197, 26.051895913609197, 34.65420987348126, 34.65420987348126, 21.64260050588131, 21.64260050588131, 26.864820965111637, 26.864820965111637, 35.46386235630103, 35.46386235630103, 21.585113796669972, 21.585113796669972, 26.766664816537993, 26.766664816537993, 35.37824617561856, 35.37824617561856, 21.541629463507544, 21.541629463507544, 26.682662738094002, 26.682662738094002, 35.28440801349905, 35.28440801349905]"
"(""C4-full_integration_gross_cap"", ""Total_costs_per_abat"")","[19.00113446204109, 19.00113446204109, 23.160278112924065, 23.160278112924065, 32.813695109882495, 32.813695109882495, 18.997831095412995, 18.997831095412995, 23.022641875186846, 23.022641875186846, 32.56175573941835, 32.56175573941835, 18.995795859047437, 18.995795859047437, 22.93229814198104, 22.93229814198104, 32.21617571145099, 32.21617571145099, 19.026585123696716, 19.026585123696716, 23.982207063148103, 23.982207063148103, 32.642101905444235, 32.642101905444235, 19.016060077615347, 19.016060077615347, 23.786430412864128, 23.786430412864128, 32.61158239514107, 32.61158239514107, 19.0095670805182, 19.0095670805182, 23.61852186857807, 23.61852186857807, 32.58584852696082, 32.58584852696082, 19.06769338407501, 19.06769338407501, 24.328955196755707, 24.328955196755707, 32.61403645133549, 32.61403645133549, 19.05658204919595, 19.05658204919595, 24.25451381203054, 24.25451381203054, 32.539705018923144, 32.539705018923144, 19.047587220887998, 19.047587220887998, 24.17588857405115, 24.17588857405115, 32.497484272853434, 32.497484272853434]"
"(""C3-full_integration_net_cap"", ""Learning_gains_per_rem"")","[9.170040133081008, 9.170040133081011, 16.986637582237318, 16.986637582237318, 31.234178217797936, 31.234178217797954, 10.289508605997632, 10.289508605997634, 18.86565714848207, 18.86565714848207, 34.28615920398884, 34.28615920398883, 11.186050557418794, 11.186050557418794, 20.374761177291084, 20.374761177291077, 36.75256693144836, 36.75256693144836, 17.57529335867271, 17.57529335867271, 35.32088795025606, 35.32088795025606, 70.06654652598729, 70.06654652598729, 20.38444831413814, 20.384448314138147, 40.372717568850014, 40.37271756885002, 79.55984937030715, 79.55984937030712, 22.964022231302327, 22.964022231302327, 44.89092290642977, 44.89092290642976, 87.75891885436607, 87.75891885436612, 24.125187868574148, 24.125187868574148, 53.44750164675592, 53.4475016467559, 119.50442319462098, 119.50442319462098, 28.860065387671334, 28.860065387671337, 62.977507165879295, 62.97750716587927, 138.09739587334082, 138.0973958733408, 33.226178029674344, 33.226178029674344, 71.6159604499164, 71.61596044991641, 154.8916762242949, 154.8916762242949]"
"(""C2-disconnected"", ""ETS_price"")",Any[]
"(""C0-social_optimal"", ""Fraction_costs_rem"")",Any[]
"(""C5-conditional_integration"", ""Learning_gains_per_rem"")","[14.580816803279603, 12.393694282787663, 38.088219455212645, 32.37498653693075, 93.58984014507682, 79.5513641233153, 17.60551241546996, 14.964685553149465, 46.08095649180667, 39.168813018035664, 110.97032451385796, 94.32477583677927, 20.36014925223324, 17.30612686439825, 53.423127235423784, 45.40965815011022, 126.75014041701833, 107.7376193544656, 20.98915571064243, 17.840782354046063, 54.0233160057956, 45.919818604926256, 146.93469856232366, 124.89449377797511, 25.93857290632228, 22.047786970373934, 66.9646637378228, 56.91996417714938, 179.39208798809943, 152.48327478988452, 30.906943158920672, 26.270901685082574, 79.5246190964643, 67.59592623199467, 210.9343074785976, 179.29416135680793, 23.33757273142154, 19.83693682170831, 59.045648089946965, 50.18880087645492, 160.5599966129302, 136.47599712099068, 29.13708921484527, 24.766525832618477, 73.7081311158725, 62.65191144849163, 200.81751649384873, 170.6948890197714, 34.879894597299796, 29.647910407704824, 88.32708534964921, 75.07802254720183, 240.62366627890003, 204.530116337065]"
"(""C2-disconnected"", ""Learning_gains_per_rem"")","[55.346921601374824, 55.34692160137482, 55.461862769608345, 55.46186276960834, 55.512906791087545, 55.512906791087545, 68.41777202610623, 68.41777202610622, 68.53698470021595, 68.53698470021594, 68.63827883722409, 68.63827883722409, 81.45645341142047, 81.45645341142047, 81.45645341142047, 81.45645341142047, 81.70921979790354, 81.70921979790353, 74.08628534784346, 74.08628534784347, 74.0078721299178, 74.00787212991779, 74.01520394334143, 74.01520394334142, 92.57878379715845, 92.57878379715845, 92.48806598780432, 92.4880659878043, 92.46489437245003, 92.46489437245003, 111.08469221760227, 111.08469221760227, 110.88455691591969, 110.88455691591969, 110.87177505161655, 110.87177505161655, 79.43199275398922, 79.4319927539892, 79.47439159196328, 79.47439159196328, 79.38720952453968, 79.38720952453967, 99.23466189007948, 99.23466189007945, 99.23384495796665, 99.23384495796665, 99.28067237009611, 99.28067237009608, 119.11420583087666, 119.11420583087666, 119.08708345113992, 119.08708345113992, 119.07652110279736, 119.07652110279736]"
"(""C5-conditional_integration"", ""Fraction_removals"")","[0.6661869851449812, 0.6661869851449812, 0.48396433946972334, 0.48396433946972334, 0.3436731469013943, 0.3436731469013943, 0.6688989359893945, 0.6688989359893945, 0.4872267753913843, 0.4872267753913843, 0.35486653274496804, 0.35486653274496804, 0.6725589511733584, 0.6725589511733584, 0.4919032023289666, 0.4919032023289666, 0.36678892036442357, 0.36678892036442357, 0.6615525817819224, 0.6615525817819224, 0.4805944475227218, 0.4805944475227218, 0.323538737976958, 0.323538737976958, 0.6624477354877455, 0.6624477354877455, 0.4806357975173463, 0.4806357975173463, 0.3239651307042284, 0.3239651307042284, 0.6625837082025542, 0.6625837082025542, 0.48065631254238417, 0.48065631254238417, 0.32446024355101605, 0.32446024355101605, 0.6607027523143689, 0.6607027523143689, 0.4804786675377732, 0.4804786675377732, 0.32334779706275024, 0.32334779706275024, 0.660770738671773, 0.660770738671773, 0.48061925751949647, 0.48061925751949647, 0.323008455718736, 0.323008455718736, 0.660430806884752, 0.660430806884752, 0.48056136752702217, 0.48056136752702217, 0.3231697819314641, 0.3231697819314641]"
"(""C5-conditional_integration"", ""ETS_price"")",Any[]
"(""C1-no_removals"", ""ETS_avg"")","[142.8466677591617, 142.8466677591617, 142.8466677591617, 142.8466677591617, 191.18822727565177, 191.18822727565177, 191.18822727565177, 191.18822727565177, 269.9234879595999, 269.9234879595999, 269.9234879595999, 269.9234879595999, 142.8466677591617, 142.8466677591617, 142.8466677591617, 142.8466677591617, 191.18822727565177, 191.18822727565177, 191.18822727565177, 191.18822727565177, 269.9234879595999, 269.9234879595999, 269.9234879595999, 269.9234879595999, 142.8466677591617, 142.8466677591617, 142.8466677591617, 142.8466677591617, 191.18822727565177, 191.18822727565177, 191.18822727565177, 191.18822727565177, 269.9234879595999, 269.9234879595999, 269.9234879595999, 269.9234879595999, 142.8466677591617, 142.8466677591617, 142.8466677591617, 142.8466677591617, 191.18822727565177, 191.18822727565177, 191.18822727565177, 191.18822727565177, 269.9234879595999, 269.9234879595999, 269.9234879595999, 269.9234879595999, 142.8466677591617, 142.8466677591617, 142.8466677591617, 142.8466677591617, 191.18822727565177, 191.18822727565177, 191.18822727565177, 191.18822727565177, 269.9234879595999, 269.9234879595999, 269.9234879595999, 269.9234879595999, 142.8466677591617, 142.8466677591617, 142.8466677591617, 142.8466677591617, 191.18822727565177, 191.18822727565177, 191.18822727565177, 191.18822727565177, 269.9234879595999, 269.9234879595999, 269.9234879595999, 269.9234879595999, 142.8466677591617, 142.8466677591617, 142.8466677591617, 142.8466677591617, 191.18822727565177, 191.18822727565177, 191.18822727565177, 191.18822727565177, 269.9234879595999, 269.9234879595999, 269.9234879595999, 269.9234879595999, 142.8466677591617, 142.8466677591617, 142.8466677591617, 142.8466677591617, 191.18822727565177, 191.18822727565177, 191.18822727565177, 191.18822727565177, 269.9234879595999, 269.9234879595999, 269.9234879595999, 269.9234879595999, 142.8466677591617, 142.8466677591617, 142.8466677591617, 142.8466677591617, 191.18822727565177, 191.18822727565177, 191.18822727565177, 191.18822727565177, 269.9234879595999, 269.9234879595999, 269.9234879595999, 269.9234879595999]"
"(""C1-no_removals"", ""Fraction_costs_rem"")","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"(""C5-conditional_integration"", ""Total_costs_per_abat"")","[20.31298278253107, 20.31298278253107, 26.19951013136989, 26.19951013136989, 40.193858351231974, 40.193858351231974, 20.352044022773615, 20.352044022773615, 26.480762489886086, 26.480762489886086, 41.280834857876265, 41.280834857876265, 20.38059671595399, 20.38059671595399, 26.716629627211265, 26.716629627211265, 42.18419046059746, 42.18419046059746, 20.16198203012955, 20.16198203012955, 25.192794847653037, 25.192794847653037, 35.63441806064646, 35.63441806064646, 20.180941320002066, 20.180941320002066, 25.322041555726525, 25.322041555726525, 36.18780390336665, 36.18780390336665, 20.2046808500455, 20.2046808500455, 25.442397085735067, 25.442397085735067, 36.71776324035643, 36.71776324035643, 20.095402968501794, 20.095402968501794, 24.827895969897078, 24.827895969897078, 33.86657354196661, 33.86657354196661, 20.107147996232953, 20.107147996232953, 24.87115559063068, 24.87115559063068, 34.063709702796615, 34.063709702796615, 20.117768450053166, 20.117768450053166, 24.917737595694238, 24.917737595694238, 34.24009844094417, 34.24009844094417]"
"(""C4-full_integration_gross_cap"", ""ETS_avg"")","[161.07651464921273, 161.07651464921273, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.07651464921273, 161.07651464921273, 249.491088706719, 249.491088706719, 423.96132846966356, 423.96132846966356, 161.07651464921273, 161.07651464921273, 249.491088706719, 249.491088706719, 423.96132846966356, 423.96132846966356, 161.07885141261383, 161.07885141261383, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.07651464921273, 161.07651464921273, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.07651464921273, 161.07651464921273, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.0888705332678, 161.0888705332678, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.08114547251168, 161.08114547251168, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356, 161.08725781683322, 161.08725781683322, 249.48833842912492, 249.48833842912492, 423.96132846966356, 423.96132846966356]"
"(""C3-full_integration_net_cap"", ""Emitter_cost_avg"")","[354.63635405724926, 354.63635405724926, 431.61244672379354, 431.61244672379354, 556.4992136216811, 556.4992136216811, 363.18809455928783, 363.18809455928783, 447.29795739024246, 447.29795739024246, 583.1938313824828, 583.1938313824828, 370.00556671434526, 370.00556671434526, 460.04679663226307, 460.04679663226307, 605.5857052482645, 605.5857052482645, 311.47883276427154, 311.47883276427154, 353.14307027753557, 353.14307027753557, 427.28094655776613, 427.28094655776613, 318.9456811879325, 318.9456811879325, 365.5561629821586, 365.5561629821586, 445.60509566194753, 445.60509566194753, 325.4543347119287, 325.4543347119287, 376.45491323965035, 376.45491323965035, 462.0379006703522, 462.0379006703522, 279.6728243970169, 279.6728243970169, 299.97177851243214, 299.97177851243214, 351.1405579667511, 351.1405579667511, 284.2207628991259, 284.2207628991259, 307.10541890942, 307.10541890942, 360.605574289331, 360.605574289331, 288.4238626478624, 288.4238626478624, 313.58847446312427, 313.58847446312427, 369.3102464283199, 369.3102464283199]"
"(""C7-equivalence_obligation"", ""Fraction_costs_abat"")","[0.9610204366125251, 0.9610204366125251, 0.9298063775788721, 0.9298063775788721, 0.8850979093971129, 0.8850979093971129, 0.9639640608980632, 0.9639640608980632, 0.9351266040843754, 0.9351266040843754, 0.8932950153560858, 0.8932950153560858, 0.9665419781243374, 0.9665419781243374, 0.9395908220491753, 0.9395908220491753, 0.9000283306232907, 0.9000283306232907, 0.9489833426068548, 0.9489833426068548, 0.905959606610991, 0.905959606610991, 0.8493319204649271, 0.8493319204649271, 0.9516832726162825, 0.9516832726162825, 0.9112605528561986, 0.9112605528561986, 0.8557527806526768, 0.8557527806526768, 0.9541660115391399, 0.9541660115391399, 0.915669263525197, 0.915669263525197, 0.8617440157080833, 0.8617440157080833, 0.9379833813592559, 0.9379833813592559, 0.8831116004375431, 0.8831116004375431, 0.8213893927599071, 0.8213893927599071, 0.9403270280667, 0.9403270280667, 0.8873501562822493, 0.8873501562822493, 0.8264124964683351, 0.8264124964683351, 0.9423440747175861, 0.9423440747175861, 0.8913232871858575, 0.8913232871858575, 0.8309817918620034, 0.8309817918620034]"
"(""C1-no_removals"", ""Total_net_emissions"")","[17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435, 17.447999999999997, 17.447999999999997, 17.445600000000002, 17.445600000000002, 17.4435, 17.4435]"
"(""C7-equivalence_obligation"", ""RC_max"")","[438.9903170546877, 438.9903170546877, 542.6892925757483, 542.6892925757483, 694.8590629431208, 694.8590629431208, 463.87052686618546, 463.87052686618546, 573.5276948001516, 573.5276948001516, 736.7992847460325, 736.7992847460325, 480.09797847537095, 480.09797847537095, 598.7477719152479, 598.7477719152479, 771.8503504223272, 771.8503504223272, 380.0, 380.0, 427.53617493610255, 427.53617493610255, 513.3669736656896, 513.3669736656896, 385.31810557435676, 385.31810557435676, 446.19861912905753, 446.19861912905753, 546.0899663192303, 546.0899663192303, 392.7778193072937, 392.7778193072937, 467.42131075344054, 467.42131075344054, 572.4382291752228, 572.4382291752228, 380.0, 380.0, 380.0, 380.0, 402.43450751160526, 402.43450751160526, 380.0, 380.0, 381.9567431954447, 381.9567431954447, 418.70885356747755, 418.70885356747755, 380.0, 380.0, 387.18088574855693, 387.18088574855693, 434.00991287553614, 434.00991287553614]"
"(""C0-social_optimal"", ""Fraction_removals"")",Any[]
"(""C4-full_integration_gross_cap"", ""Learning_gains_per_em"")","[0.8649970053318011, 0.8649970053318011, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8649970053318011, 0.8649970053318011, 1.7192006002361009, 1.7192006002361009, 3.395216374991586, 3.395216374991586, 0.8649970053318011, 0.8649970053318011, 1.7192006002361009, 1.7192006002361009, 3.395216374991586, 3.395216374991586, 0.8650083289263999, 0.8650083289263999, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8649970053318011, 0.8649970053318011, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8649970053318011, 0.8649970053318011, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8650813662393234, 0.8650813662393234, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.865020409083044, 0.865020409083044, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586, 0.8650630279735869, 0.8650630279735869, 1.719201047356581, 1.719201047356581, 3.395216374991586, 3.395216374991586]"
"(""C2-disconnected"", ""Fraction_costs_abat"")","[0.7268337653244705, 0.7268337653244705, 0.7592375919551528, 0.7592375919551528, 0.8055368850889315, 0.8055368850889315, 0.7102039777242415, 0.7102039777242415, 0.7439857876170674, 0.7439857876170674, 0.7922769658774681, 0.7922769658774681, 0.6944285705031278, 0.6944285705031278, 0.7298117178296332, 0.7298117178296332, 0.779615661872742, 0.779615661872742, 0.7783143596336601, 0.7783143596336601, 0.806544848655166, 0.806544848655166, 0.8457054903969696, 0.8457054903969696, 0.7717551735538873, 0.7717551735538873, 0.8006102048364957, 0.8006102048364957, 0.8407729548967455, 0.8407729548967455, 0.765269183472345, 0.765269183472345, 0.7948413962192129, 0.7948413962192129, 0.8359084726196636, 0.8359084726196636, 0.7966370310490672, 0.7966370310490672, 0.8227408355004233, 0.8227408355004233, 0.8594076199243426, 0.8594076199243426, 0.7943744691016912, 0.7943744691016912, 0.8209675093330757, 0.8209675093330757, 0.8576281224717737, 0.8576281224717737, 0.79200099083979, 0.79200099083979, 0.818878611011604, 0.818878611011604, 0.8560041964744617, 0.8560041964744617]"
"(""C6-removal_obligation"", ""Total_costs_per_net"")","[280.6293855183171, 257.05261826615276, 351.90059781653923, 306.81721394945265, 484.5367615025039, 393.5813004913924, 278.9126281678505, 257.4243471818159, 348.94657625706645, 308.1355139811782, 479.8301462311379, 397.3519942320308, 277.0988381049919, 257.3323148085885, 346.298475528843, 308.8866727930606, 475.5154551537372, 399.89574005664184, 290.63740809613387, 254.0211245516292, 371.82451204701243, 297.97303046722584, 519.9433672563317, 371.1924957410708, 288.9949579873662, 254.72006868696482, 368.07548368201424, 299.47739923527325, 513.688933103451, 374.7350051062843, 287.4978959964809, 255.18195817794916, 365.06469852408435, 300.7515368419257, 509.1662702762809, 378.10155524575737, 301.34005301350703, 251.69062896126297, 396.82212346255955, 291.42167141991695, 563.8077619206653, 356.4790038718846, 299.39539013017736, 251.81742199144713, 392.9535371520909, 292.2726103520325, 558.5839095801839, 358.85337446649885, 297.9763806496912, 252.10270353221128, 389.80037472921003, 293.1351315326315, 552.4849335192208, 360.313279419064]"
"(""C1-no_removals"", ""Total_budget_per_net"")","[142.84666775916165, 142.84666775916165, 191.18822727566334, 191.18822727566334, 269.92348795960885, 269.92348795960885, 142.84666775916165, 142.84666775916165, 191.18822727566334, 191.18822727566334, 269.92348795960885, 269.92348795960885, 142.84666775916165, 142.84666775916165, 191.18822727566334, 191.18822727566334, 269.92348795960885, 269.92348795960885, 142.84666775916165, 142.84666775916165, 191.18822727566334, 191.18822727566334, 269.92348795960885, 269.92348795960885, 142.84666775916165, 142.84666775916165, 191.18822727566334, 191.18822727566334, 269.92348795960885, 269.92348795960885, 142.84666775916165, 142.84666775916165, 191.18822727566334, 191.18822727566334, 269.92348795960885, 269.92348795960885, 142.84666775916165, 142.84666775916165, 191.18822727566334, 191.18822727566334, 269.92348795960885, 269.92348795960885, 142.84666775916165, 142.84666775916165, 191.18822727566334, 191.18822727566334, 269.92348795960885, 269.92348795960885, 142.84666775916165, 142.84666775916165, 191.18822727566334, 191.18822727566334, 269.92348795960885, 269.92348795960885]"
"(""C3-full_integration_net_cap"", ""Total_budget_per_net"")","[138.9343500412049, 130.34324014883018, 184.78377377774416, 166.9697478615315, 263.9217148179209, 226.6410774289216, 139.74548755454387, 131.8627778125789, 186.62810799190402, 170.1762311065922, 269.1069468578992, 234.18403590381854, 140.89550408770813, 133.5871119224311, 188.93941148004703, 173.5915515683209, 274.42681617029666, 241.43841447536917, 137.5457297909373, 125.03139837947809, 180.61890685049391, 154.72332290829237, 252.77603600109404, 201.32577095997118, 137.99209705336622, 126.21944737265949, 181.69168487430235, 157.1794463772835, 254.84661066168024, 205.50872949507053, 138.27683176570113, 127.11945337018304, 182.5803062571855, 159.2354462021381, 256.8640108975844, 209.34653555307509, 136.98435049905115, 121.00978544873699, 178.47736618171226, 145.4730084502568, 247.39086257117677, 184.79093358895878, 137.22756799293435, 121.78601140409384, 179.1016125878119, 147.0791447323706, 248.8921613463623, 187.53954613605467, 137.50037817945264, 122.53372705235877, 179.7748972504587, 148.64840204193558, 250.21885694168216, 190.0270001834353]"
"(""C3-full_integration_net_cap"", ""Fraction_costs_rem"")","[0.03336269229290034, 0.03336269229290034, 0.06108650464133123, 0.06108650464133123, 0.10239681068871287, 0.10239681068871287, 0.030906016052445816, 0.030906016052445816, 0.05663544989980403, 0.05663544989980403, 0.0950882754918863, 0.0950882754918863, 0.02880491762086418, 0.02880491762086418, 0.052848376673750176, 0.052848376673750176, 0.08900572612601038, 0.08900572612601038, 0.04196068128603693, 0.04196068128603693, 0.0791532736422017, 0.0791532736422017, 0.13154187385440547, 0.13154187385440547, 0.0396014262001732, 0.0396014262001732, 0.07463165027507591, 0.07463165027507591, 0.12553896777186493, 0.12553896777186493, 0.03777383025147326, 0.03777383025147326, 0.07095386900268168, 0.07095386900268168, 0.12015701098258295, 0.12015701098258295, 0.048851293686769146, 0.048851293686769146, 0.09502246552780402, 0.09502246552780402, 0.1562254372534466, 0.1562254372534466, 0.047113991333596124, 0.047113991333596124, 0.0914249263874564, 0.0914249263874564, 0.15107390865029938, 0.15107390865029938, 0.045455935605224415, 0.045455935605224415, 0.08818258631486636, 0.08818258631486636, 0.1465893413253617, 0.1465893413253617]"
"(""C4-full_integration_gross_cap"", ""Fraction_costs_abat"")","[0.9993155346279273, 0.9993155346279273, 0.9746411808241173, 0.9746411808241173, 0.9047827242524514, 0.9047827242524514, 0.9994892968627554, 0.9994892968627554, 0.9804666282259954, 0.9804666282259954, 0.911783280112498, 0.911783280112498, 0.999596383555993, 0.999596383555993, 0.9843292596521711, 0.9843292596521711, 0.9215638975968213, 0.9215638975968213, 0.9979764370882455, 0.9979764370882455, 0.9412378414029154, 0.9412378414029154, 0.9095389917080394, 0.9095389917080394, 0.9985311765933839, 0.9985311765933839, 0.9489847958013663, 0.9489847958013663, 0.910390182683449, 0.910390182683449, 0.9988722395962166, 0.9988722395962166, 0.9557313084112258, 0.9557313084112258, 0.9111091408205797, 0.9111091408205797, 0.9958228983555755, 0.9958228983555755, 0.9278228606876386, 0.9278228606876386, 0.910321680010666, 0.910321680010666, 0.9964046896570167, 0.9964046896570167, 0.9306705128428013, 0.9306705128428013, 0.9124011553590706, 0.9124011553590706, 0.9968745457058972, 0.9968745457058972, 0.9336972553895554, 0.9336972553895554, 0.9135865473472836, 0.9135865473472836]"
"(""C2-disconnected"", ""Total_emissions"")","[34.3725, 34.3725, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.3725, 34.3725, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.3725, 34.3725, 34.40040000000001, 34.40040000000001, 34.467600000000004, 34.467600000000004, 34.376999999999995, 34.376999999999995, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.3734, 34.3734, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.372800000000005, 34.372800000000005, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.37310000000001, 34.37310000000001, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.3737, 34.3737, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004, 34.3725, 34.3725, 34.40849999999998, 34.40849999999998, 34.467600000000004, 34.467600000000004]"
"(""C5-conditional_integration"", ""Total_costs_per_net"")","[235.54360337186748, 235.54360337186748, 290.59518856954594, 290.59518856954594, 384.1110875453737, 384.1110875453737, 235.04574986840606, 235.04574986840606, 291.7509040164091, 291.7509040164091, 382.1079447211999, 382.1079447211999, 234.09460913341826, 234.09460913341826, 291.5655411582175, 291.5655411582175, 377.8488601549115, 377.8488601549115, 235.43043921442063, 235.43043921442063, 281.3856533393472, 281.3856533393472, 361.6447076210738, 361.6447076210738, 235.3333938061244, 235.3333938061244, 282.80491508710776, 282.80491508710776, 366.7828271543719, 366.7828271543719, 235.56187354383871, 235.56187354383871, 284.1397450998466, 284.1397450998466, 371.5863577305689, 371.5863577305689, 234.9548215124114, 234.9548215124114, 277.3768144724826, 277.3768144724826, 343.90376546082365, 343.90376546082365, 235.06795550009147, 235.06795550009147, 277.7788309918465, 277.7788309918465, 346.26901376031066, 346.26901376031066, 235.31317298650416, 235.31317298650416, 278.3326169156381, 278.3326169156381, 347.88831190991846, 347.88831190991846]"
"(""C5-conditional_integration"", ""RC_max"")","[511.7623422730582, 511.7623422730582, 775.015234362248, 775.015234362248, 1483.5242115235244, 1483.5242115235244, 556.7719270380868, 556.7719270380868, 863.825645305683, 863.825645305683, 1669.952095766136, 1669.952095766136, 598.1573243450891, 598.1573243450891, 956.8452362590763, 956.8452362590763, 1839.8660052743696, 1839.8660052743696, 407.3705424246139, 407.3705424246139, 503.11940070489953, 503.11940070489953, 830.0791634064499, 830.0791634064499, 428.4229574718584, 428.4229574718584, 554.5123160789599, 554.5123160789599, 901.5242185711761, 901.5242185711761, 445.8753839982983, 445.8753839982983, 583.1818736602794, 583.1818736602794, 994.162262719907, 994.162262719907, 380.0, 380.0, 397.0788985466084, 397.0788985466084, 478.4612223968178, 478.4612223968178, 380.96162788243083, 380.96162788243083, 414.1657998796363, 414.1657998796363, 523.1299272501075, 523.1299272501075, 388.7361266896023, 388.7361266896023, 426.564062868278, 426.564062868278, 569.3356673131202, 569.3356673131202]"
"(""C6-removal_obligation"", ""ETS_max"")","[432.078939567925, 432.078939567925, 535.1880079165139, 535.1880079165139, 692.8767644770959, 692.8767644770959, 454.22712276115806, 454.22712276115806, 567.3465899895242, 567.3465899895242, 737.0537629645431, 737.0537629645431, 473.256380743667, 473.256380743667, 594.9969037489071, 594.9969037489071, 780.9750672467919, 780.9750672467919, 356.55267485253614, 356.55267485253614, 416.5161771395156, 416.5161771395156, 511.15888508105866, 511.15888508105866, 365.3691372820594, 365.3691372820594, 440.46225884807376, 440.46225884807376, 542.2389289163506, 542.2389289163506, 380.04241343067855, 380.04241343067855, 452.32756065286486, 452.32756065286486, 571.5223710562522, 571.5223710562522, 315.4653706386799, 315.4653706386799, 352.92719754845393, 352.92719754845393, 401.5514084808815, 401.5514084808815, 322.45088563841597, 322.45088563841597, 364.9836207908582, 364.9836207908582, 417.2034236222346, 417.2034236222346, 329.80184343677155, 329.80184343677155, 376.69347443433077, 376.69347443433077, 431.64459886105965, 431.64459886105965]"
"(""C8-rem_obl_gross"", ""Total_costs_per_abat"")","[24.283721580877845, 24.283721580877845, 27.8634093190227, 27.8634093190227, 35.988510615242454, 35.988510615242454, 24.61761306296022, 24.61761306296022, 28.200872273201902, 28.200872273201902, 36.11270062550665, 36.11270062550665, 24.93311533950919, 24.93311533950919, 28.5169811155318, 28.5169811155318, 36.050122548955635, 36.050122548955635, 23.32032230820378, 23.32032230820378, 27.35713218667846, 27.35713218667846, 35.23390983619257, 35.23390983619257, 23.44066310361996, 23.44066310361996, 27.304932949940046, 27.304932949940046, 35.29870968542253, 35.29870968542253, 23.568949286631884, 23.568949286631884, 27.2540220193417, 27.2540220193417, 35.40854558688058, 35.40854558688058, 22.98914259774155, 22.98914259774155, 27.27422090559716, 27.27422090559716, 35.15270813363947, 35.15270813363947, 23.041202658265718, 23.041202658265718, 27.31054975529265, 27.31054975529265, 35.12904959774814, 35.12904959774814, 23.079913224207953, 23.079913224207953, 27.343442984070343, 27.343442984070343, 35.128076424471615, 35.128076424471615]"
